<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170103,18:40,180.1200000,180.1200000,180.1200000,180.1200000,555050
SBER,10,20170104,10:00,178.9100000,179.4100000,178.1200000,178.2600000,1888160
SBER,10,20170104,10:10,178.3100000,178.4300000,177.6400000,178.3900000,2466330
SBER,10,20170104,10:20,178.3900000,178.8700000,178.0900000,178.8600000,1046590
SBER,10,20170104,10:30,178.8400000,178.8500000,178.0000000,178.2400000,1669930
SBER,10,20170104,10:40,178.2600000,178.4400000,178.0500000,178.2000000,375270
SBER,10,20170104,10:50,178.1300000,178.2500000,177.8500000,178.0400000,682280
SBER,10,20170104,11:00,178.0100000,178.1700000,177.3500000,177.5200000,1010220
SBER,10,20170104,11:10,177.5300000,177.6900000,177.2200000,177.4500000,911700
SBER,10,20170104,11:20,177.4500000,177.7700000,177.1200000,177.5900000,913570
SBER,10,20170104,11:30,177.5700000,178.0000000,177.5200000,177.9000000,1096100
SBER,10,20170104,11:40,177.9000000,177.9900000,177.5100000,177.5100000,557850
SBER,10,20170104,11:50,177.5100000,177.5900000,177.3000000,177.4200000,447720
SBER,10,20170104,12:00,177.4300000,177.6300000,177.2000000,177.3600000,769210
SBER,10,20170104,12:10,177.3500000,177.4400000,177.2300000,177.3700000,336650
SBER,10,20170104,12:20,177.3400000,177.3400000,176.4300000,176.6800000,1619810
SBER,10,20170104,12:30,176.6500000,176.6900000,176.0000000,176.0700000,1237840
SBER,10,20170104,12:40,176.0700000,176.1000000,175.3500000,175.8400000,1407870
SBER,10,20170104,12:50,175.8300000,175.9400000,175.4600000,175.5800000,407540
SBER,10,20170104,13:00,175.5800000,176.1600000,175.1500000,175.7800000,975470
SBER,10,20170104,13:10,175.8300000,176.0700000,175.5300000,176.0100000,379070
SBER,10,20170104,13:20,176.0500000,176.2300000,175.2500000,175.4400000,584160
SBER,10,20170104,13:30,175.4400000,175.4400000,174.8900000,175.2000000,1391470
SBER,10,20170104,13:40,175.2000000,175.2000000,174.4700000,174.5900000,731850
SBER,10,20170104,13:50,174.5700000,174.8400000,174.2300000,174.6800000,1020860
SBER,10,20170104,14:00,174.6500000,175.0200000,174.5300000,174.9400000,308600
SBER,10,20170104,14:10,174.9100000,174.9500000,174.5300000,174.6500000,256480
SBER,10,20170104,14:20,174.6500000,175.0100000,174.6500000,174.8200000,622630
SBER,10,20170104,14:30,174.8300000,174.9300000,174.4200000,174.7800000,556900
SBER,10,20170104,14:40,174.7900000,174.9700000,174.6300000,174.8900000,141020
SBER,10,20170104,14:50,174.8600000,175.2000000,174.8600000,175.1000000,860170
SBER,10,20170104,15:00,175.0900000,175.4500000,175.0700000,175.3300000,586740
SBER,10,20170104,15:10,175.3300000,175.6400000,175.3000000,175.6100000,498170
SBER,10,20170104,15:20,175.6100000,175.8800000,175.4800000,175.7900000,532760
